segment_id,phase,split,elapsed_start_s,elapsed_end_s,frame_count_total,production_frame_count,calibration_frame_count,qualification_frame_count,annotator_1,annotator_2
seg_0000,Launching,train,2742,3282,10,9,1,0,A2,A4
seg_0001,Launching,train,3342,3882,10,8,1,1,A2,A4
seg_0002,Launching,train,3942,4362,8,8,0,0,A2,A3
seg_0003,Launching,test,4422,4482,2,0,1,1,A1,A2
seg_0004,Launching,train,4542,4962,8,7,1,0,A2,A3
seg_0005,Launching,validation,5022,5084,2,2,0,0,A1,A4
seg_0006,Launching,validation,5144,5144,1,1,0,0,A3,A4
seg_0007,Launching,train,5204,5264,2,2,0,0,A1,A2
seg_0008,Launching,validation,5324,5444,3,2,1,0,A1,A3
seg_0009,Launching,train,5504,5684,4,3,0,1,A3,A4
seg_0010,Launching,train,5744,6284,10,9,1,0,A1,A4
seg_0011,Launching,train,6344,6344,1,1,0,0,A1,A4
seg_0012,Launching,validation,6404,6764,7,5,1,1,A1,A4
seg_0013,Floating,train,6824,7364,10,9,1,0,A2,A3
seg_0014,Floating,train,7424,7424,1,1,0,0,A3,A4
seg_0015,Floating,test,7484,7784,6,5,1,0,A2,A4
seg_0016,Floating,train,7844,7964,3,3,0,0,A3,A4
seg_0017,Floating,train,8024,8144,3,3,0,0,A2,A3
seg_0018,Floating,validation,8204,8564,7,6,1,0,A1,A2
seg_0019,Floating,validation,8624,8805,4,4,0,0,A1,A4
seg_0020,Floating,test,8865,9106,5,5,0,0,A1,A3
seg_0021,Floating,train,9166,9166,1,1,0,0,A2,A4
seg_0022,Floating,train,9226,9770,10,8,1,1,A1,A4
seg_0023,Floating,train,9832,10134,6,6,0,0,A3,A4
seg_0024,Floating,test,10196,10378,4,3,0,1,A1,A4
seg_0025,Floating,train,10438,10680,5,4,1,0,A2,A3
seg_0026,Floating,test,10741,10923,4,3,1,0,A1,A2
seg_0027,Floating,validation,10983,10983,1,1,0,0,A1,A3
seg_0028,Floating,validation,11043,11164,3,2,0,1,A2,A4
seg_0029,Floating,train,11224,11404,4,4,0,0,A1,A4
seg_0030,Floating,validation,11464,11585,3,2,1,0,A1,A4
seg_0031,Floating,validation,11645,11645,1,1,0,0,A1,A2
seg_0032,Floating,train,11705,11945,5,5,0,0,A2,A4
seg_0033,Floating,validation,12005,12125,3,3,0,0,A2,A4
seg_0034,Floating,train,12185,12185,1,1,0,0,A3,A4
seg_0035,Floating,train,12245,12665,8,7,1,0,A1,A3
seg_0036,Floating,validation,12725,12785,2,2,0,0,A2,A3
seg_0037,Floating,validation,12845,13205,7,6,1,0,A2,A3
seg_0038,Floating,train,13265,13385,3,3,0,0,A1,A3
seg_0039,Floating,train,13445,13745,6,6,0,0,A1,A2
seg_0040,Floating,test,13805,13985,4,4,0,0,A2,A3
seg_0041,Floating,test,14045,14225,4,4,0,0,A2,A4
seg_0042,Floating,train,14285,14588,6,5,1,0,A1,A3
seg_0043,Floating,train,14648,15203,10,9,0,1,A2,A4
seg_0044,Floating,train,15263,15804,10,9,1,0,A1,A4
seg_0045,Floating,train,15884,16463,10,9,1,0,A2,A3
seg_0046,Floating,train,16523,17064,10,10,0,0,A1,A2
seg_0047,Floating,train,17124,17664,10,9,1,0,A1,A3
seg_0048,Floating,train,17724,18287,10,8,1,1,A1,A3
seg_0049,Floating,train,18347,18888,10,10,0,0,A3,A4
seg_0050,Floating,train,18948,19493,10,9,1,0,A1,A2
seg_0051,Floating,train,19553,20121,9,8,1,0,A3,A4
seg_0052,Floating,train,20192,20732,10,10,0,0,A1,A3
seg_0053,Floating,test,20792,21348,10,8,1,1,A1,A2
seg_0054,Floating,test,21408,21408,1,1,0,0,A1,A4
seg_0055,Floating,train,21501,21998,9,8,1,0,A2,A4
seg_0056,Floating,train,22058,22622,10,8,1,1,A1,A4
seg_0057,Floating,validation,22682,23254,10,9,1,0,A3,A4
seg_0058,Floating,validation,23314,23500,4,3,0,1,A3,A4
seg_0059,Floating,train,23566,23869,6,6,0,0,A3,A4
seg_0060,Floating,test,23929,24235,6,5,1,0,A3,A4
seg_0061,Floating,train,24295,24475,4,4,0,0,A1,A3
seg_0062,Floating,validation,24535,24595,2,2,0,0,A2,A4
seg_0063,Floating,train,24656,24896,5,4,1,0,A1,A2
seg_0064,Floating,validation,24956,25076,3,2,1,0,A1,A3
seg_0065,Floating,validation,25136,25256,3,3,0,0,A2,A3
seg_0066,Floating,train,25316,25556,5,5,0,0,A1,A2
seg_0067,Floating,validation,25616,25676,2,2,0,0,A1,A2
