image,image_url,elapsed_s,phase,segment_id,spatial_block,split,assignment_type
img_003102.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames_corrected/launching/img_003102.jpg,3102,Launching,seg_0000,822:-1984,train,calibration
img_003882.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames_corrected/launching/img_003882.jpg,3882,Launching,seg_0001,822:-1982,train,calibration
img_004482.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames_corrected/launching/img_004482.jpg,4482,Launching,seg_0003,822:-1979,test,calibration
img_004842.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames_corrected/launching/img_004842.jpg,4842,Launching,seg_0004,822:-1976,train,calibration
img_005324.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames_corrected/launching/img_005324.jpg,5324,Launching,seg_0008,822:-1973,validation,calibration
img_005984.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames_corrected/launching/img_005984.jpg,5984,Launching,seg_0010,822:-1972,train,calibration
img_006584.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames_corrected/launching/img_006584.jpg,6584,Launching,seg_0012,822:-1973,validation,calibration
img_007244.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames_corrected/floating/img_007244.jpg,7244,Floating,seg_0013,821:-1975,train,calibration
img_007784.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames_corrected/floating/img_007784.jpg,7784,Floating,seg_0015,821:-1976,test,calibration
img_008504.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames_corrected/floating/img_008504.jpg,8504,Floating,seg_0018,820:-1979,validation,calibration
img_009469.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames_corrected/floating/img_009469.jpg,9469,Floating,seg_0022,819:-1982,train,calibration
img_010620.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames_corrected/floating/img_010620.jpg,10620,Floating,seg_0025,817:-1986,train,calibration
img_010801.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames_corrected/floating/img_010801.jpg,10801,Floating,seg_0026,817:-1987,test,calibration
img_011524.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames_corrected/floating/img_011524.jpg,11524,Floating,seg_0030,816:-1990,validation,calibration
img_012425.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames_corrected/floating/img_012425.jpg,12425,Floating,seg_0035,815:-1994,train,calibration
img_013025.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames_corrected/floating/img_013025.jpg,13025,Floating,seg_0037,814:-1995,validation,calibration
img_014345.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames_corrected/floating/img_014345.jpg,14345,Floating,seg_0042,816:-1995,train,calibration
img_015263.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames_corrected/floating/img_015263.jpg,15263,Floating,seg_0044,817:-1995,train,calibration
img_016203.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames_corrected/floating/img_016203.jpg,16203,Floating,seg_0045,818:-1995,train,calibration
img_017124.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames_corrected/floating/img_017124.jpg,17124,Floating,seg_0047,818:-1995,train,calibration
img_018046.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames_corrected/floating/img_018046.jpg,18046,Floating,seg_0048,819:-1995,train,calibration
img_018948.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames_corrected/floating/img_018948.jpg,18948,Floating,seg_0050,820:-1995,train,calibration
img_019939.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames_corrected/floating/img_019939.jpg,19939,Floating,seg_0051,819:-1996,train,calibration
img_020792.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames_corrected/floating/img_020792.jpg,20792,Floating,seg_0053,819:-1997,test,calibration
img_021561.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames_corrected/floating/img_021561.jpg,21561,Floating,seg_0055,819:-1998,train,calibration
img_022501.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames_corrected/floating/img_022501.jpg,22501,Floating,seg_0056,818:-2000,train,calibration
img_023119.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames_corrected/floating/img_023119.jpg,23119,Floating,seg_0057,817:-2001,validation,calibration
img_023929.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames_corrected/floating/img_023929.jpg,23929,Floating,seg_0060,816:-2004,test,calibration
img_024776.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames_corrected/floating/img_024776.jpg,24776,Floating,seg_0063,815:-2006,train,calibration
img_025076.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames_corrected/floating/img_025076.jpg,25076,Floating,seg_0064,815:-2007,validation,calibration
