image,phase,ref_r,ref_g,ref_b,gain_r,gain_g,gain_b,reference_px,clipped_after,green_fraction,green_largest_blob_px,sha256
img_006824.jpg,floating,143.0,128.0,159.0,1.2797,1.0625,0.6415,898731,0.025729,0.007814,3119,e8435a0fcf4adf2d98af4911f19bceb4d0ffa589263239b15c270ee30ad2edb0
img_006884.jpg,floating,145.0,129.0,160.0,1.2621,1.0543,0.6375,922191,0.025493,0.005081,939,10fec4a1c5e715f83589abc66590deaf6108e72026711ef95eff0a8ad8cbebfe
img_006944.jpg,floating,146.0,129.0,160.0,1.2534,1.0543,0.6375,925193,0.025589,0.00495,188,c3f1c47549333477ba4dd87bd9541e502f1420320f316ab22adda8c9bdd7aa26
img_007004.jpg,floating,147.0,130.0,161.0,1.2449,1.0462,0.6335,941132,0.026165,0.007691,783,2d0197765898d4ac560dc2af8d7d37ddf224e45ff3fa6f00c924dc531aee87d8
img_007064.jpg,floating,153.0,135.0,167.0,1.1961,1.0074,0.6108,1050801,0.020738,0.003302,450,9002430a6c0cc374ba54d30847f1ff36262ce6dad2845bf94df0e7cba3051861
img_007124.jpg,floating,159.0,140.0,172.0,1.1509,0.9714,0.593,1119089,0.014855,0.002017,229,053876240b1f8be0733b74412330259bc8ff3fcc0be651190245280ebb6f94db
img_007184.jpg,floating,163.0,142.0,174.0,1.1227,0.9577,0.5862,1150590,0.01118,0.002099,221,54858279d839bf51b25ff0ce15478183f46deef35d79d8cdbcc02ffa5503e211
img_007244.jpg,floating,166.0,145.0,177.0,1.1024,0.9379,0.5763,1176892,0.008771,0.001368,131,977856b5ef52f9bd7101b5807da6445f2b66c5dc3fc68a1d02438f9836c78d07
img_007304.jpg,floating,167.0,147.0,181.0,1.0958,0.9252,0.5635,1196564,0.008063,0.00091,78,96d7d7fad40284fcbc2d3e2fb510633b8227c70cffcb9e3ad2687ee3272b64a6
img_007364.jpg,floating,170.0,149.0,183.0,1.0765,0.9128,0.5574,1210764,0.006393,0.000757,78,ae548a7bdd55dc918f6fdc71ab09c5b22b09e2bbb516c3e8322ad17d6b3bc958
img_007424.jpg,floating,170.0,150.0,183.0,1.0765,0.9067,0.5574,1236145,0.006505,0.000506,72,20d0c2e3bb7ae356d9b19859c2cd630e39202e1c9f3870e62806e82277843ab9
img_007484.jpg,floating,167.0,146.0,179.0,1.0958,0.9315,0.5698,1272790,0.007805,0.000383,44,401afa0205fc04c6d8744dd9eef7b5d2df0e33009cb96e7c943e7771b923fc66
