image,image_path,elapsed_s,phase,packets,time,lat,lon,alt_m,speed,heading,velocity_down,pressure,temperature,violet,blue,green,yellow,orange,red,brightness_mean,contrast_std,sharpness_edge_var,saturation_mean,clipped_high_fraction,clipped_low_fraction,width_px,height_px,phash,sample_reason,sampling_raw_count,segment_id,spatial_block,split,image_url,assignment_type
img_002742.jpg,frames/launching/img_002742.jpg,2742,Launching,2541.0,2542.0,36.9276,-111.452,1368.48,,14.3367,,12.5313,25.99,4613.95,8867.98,4880.17,5707.09,5122.28,6168.54,0.4497910439968109,0.2312411963939666,0.0115393605083227,0.1970438659191131,0.0404369212962962,0.0012876157407407,1280,1080,9a56e49ba66b4562,first,21216,seg_0000,822:-1984,train,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_002742.jpg,production
img_002802.jpg,frames/launching/img_002802.jpg,2802,Launching,2601.0,2602.0,36.9277,-111.452,1692.86,,5.84995,,12.0813,25.85,8553.33,11116.3,9031.44,8508.84,8636.2,11228.7,0.426616758108139,0.2391699850559234,0.0231788828969001,0.2798288762569427,0.0080598958333333,0.0048451967592592,1280,1080,d5357047690bce78,perceptual,21216,seg_0000,822:-1984,train,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_002802.jpg,production
img_002862.jpg,frames/launching/img_002862.jpg,2862,Launching,2661.0,2662.0,36.9285,-111.451,2008.85,,131.526,,11.657,25.21,5212.9,5843.75,5508.4,5112.44,5815.21,5443.89,0.4548569023609161,0.2128874957561493,0.0364666171371936,0.3021218180656433,0.0056474247685185,0.0044068287037037,1280,1080,db7421b02fd89c66,perceptual,21216,seg_0000,822:-1984,train,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_002862.jpg,production
img_002922.jpg,frames/launching/img_002922.jpg,2922,Launching,2721.0,2722.0,36.9296,-111.448,2333.78,,-167.131,,11.2268,22.53,5408.55,6485.36,6314.69,5833.34,6295.0,5865.85,0.4787046015262604,0.157519519329071,0.0344663001596927,0.2316620051860809,0.0008579282407407,0.0014561631944444,1280,1080,d2e6e896649cd2b8,perceptual,21216,seg_0000,822:-1984,train,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_002922.jpg,production
img_002982.jpg,frames/launching/img_002982.jpg,2982,Launching,2781.0,2782.0,36.9301,-111.442,2656.47,,-165.761,,10.8167,20.48,5899.47,6771.49,7124.3,5984.83,7004.92,6784.04,0.4973537027835846,0.1323599219322204,0.0311891958117485,0.1609762758016586,8.608217592592592e-05,0.0005671296296296,1280,1080,ddd22b88d6817c6c,distance+perceptual,21216,seg_0000,822:-1984,train,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_002982.jpg,production
img_003042.jpg,frames/launching/img_003042.jpg,3042,Launching,2841.0,2842.0,36.9303,-111.437,2991.13,,146.444,,10.4068,18.2,7317.02,8086.61,8614.57,7708.71,8800.94,8025.18,0.4987296462059021,0.1245748177170753,0.032898087054491,0.1909403949975967,4.4126157407407405e-05,0.0002683738425925,1280,1080,d18db863063c37ba,perceptual,21216,seg_0000,822:-1984,train,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_003042.jpg,production
img_003102.jpg,frames/launching/img_003102.jpg,3102,Launching,2901.0,2902.0,36.9317,-111.432,3325.94,,-96.5557,,10.0076,15.02,7019.35,7721.24,7441.33,6902.49,8753.38,8242.35,0.4910007119178772,0.1616951376199722,0.0326770469546318,0.2235085070133209,0.000109230324074,0.000577980324074,1280,1080,d5d53c9a0f8c64b2,perceptual,21216,seg_0000,822:-1984,train,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_003102.jpg,calibration
img_003162.jpg,frames/launching/img_003162.jpg,3162,Launching,2961.0,2962.0,36.9332,-111.427,3661.63,,-37.204,,9.61915,11.92,6440.8,6432.53,6778.16,5739.31,6872.44,6115.66,0.4630345702171325,0.1484211683273315,0.0326815582811832,0.2274173349142074,0.0002517361111111,0.0011508969907407,1280,1080,f9e28fc08dd819f0,perceptual,21216,seg_0000,822:-1984,train,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_003162.jpg,production
img_003222.jpg,frames/launching/img_003222.jpg,3222,Launching,3021.0,3022.0,36.9345,-111.423,3986.34,,-33.7285,,9.24549,10.36,6072.31,7223.8,6590.94,6070.15,6886.88,6475.73,0.4657087326049804,0.1480697244405746,0.0293080024421215,0.2402650564908981,0.0003226273148148,0.0006662326388888,1280,1080,d5eae045c4c4cf8e,perceptual,21216,seg_0000,822:-1983,train,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_003222.jpg,production
img_003282.jpg,frames/launching/img_003282.jpg,3282,Launching,3081.0,3082.0,36.9345,-111.421,4311.05,,-69.4901,,8.89241,7.36,6159.93,7553.96,6772.33,6393.16,7120.4,6601.76,0.4823485016822815,0.1482412070035934,0.0284576192498207,0.2314951866865158,0.0004542824074074,0.0004955150462962,1280,1080,d5e9d3859ad50872,perceptual,21216,seg_0000,822:-1983,train,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_003282.jpg,production
img_003342.jpg,frames/launching/img_003342.jpg,3342,Launching,3141.0,3142.0,36.9345,-111.418,4637.94,,-173.019,,8.54673,4.01,6311.17,7344.86,7296.54,6517.67,7227.4,6817.8,0.5287265181541443,0.1220423355698585,0.0240308810025453,0.1802958697080612,0.0001012731481481,0.0002322048611111,1280,1080,9c4e63dc03b946b9,perceptual,21216,seg_0001,822:-1983,train,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_003342.jpg,production
