image,segment_id,spatial_block,split
img_002742.jpg,seg_0000,822:-1984,train
img_002802.jpg,seg_0000,822:-1984,train
img_002862.jpg,seg_0000,822:-1984,train
img_002922.jpg,seg_0000,822:-1984,train
img_002982.jpg,seg_0000,822:-1984,train
img_003042.jpg,seg_0000,822:-1984,train
img_003102.jpg,seg_0000,822:-1984,train
img_003162.jpg,seg_0000,822:-1984,train
img_003222.jpg,seg_0000,822:-1983,train
img_003282.jpg,seg_0000,822:-1983,train
img_003342.jpg,seg_0001,822:-1983,train
img_003402.jpg,seg_0001,822:-1983,train
img_003462.jpg,seg_0001,822:-1983,train
img_003522.jpg,seg_0001,822:-1983,train
img_003582.jpg,seg_0001,822:-1983,train
img_003642.jpg,seg_0001,822:-1983,train
img_003702.jpg,seg_0001,822:-1983,train
img_003762.jpg,seg_0001,822:-1983,train
img_003822.jpg,seg_0001,822:-1982,train
img_003882.jpg,seg_0001,822:-1982,train
img_003942.jpg,seg_0002,822:-1982,train
img_004002.jpg,seg_0002,822:-1981,train
img_004062.jpg,seg_0002,822:-1981,train
img_004122.jpg,seg_0002,822:-1981,train
img_004182.jpg,seg_0002,822:-1981,train
img_004242.jpg,seg_0002,822:-1980,train
img_004302.jpg,seg_0002,822:-1980,train
img_004362.jpg,seg_0002,822:-1980,train
img_004422.jpg,seg_0003,822:-1979,test
img_004482.jpg,seg_0003,822:-1979,test
img_004542.jpg,seg_0004,822:-1978,train
img_004602.jpg,seg_0004,822:-1978,train
img_004662.jpg,seg_0004,822:-1978,train
img_004722.jpg,seg_0004,822:-1977,train
img_004782.jpg,seg_0004,822:-1977,train
img_004842.jpg,seg_0004,822:-1976,train
img_004902.jpg,seg_0004,822:-1976,train
img_004962.jpg,seg_0004,822:-1976,train
img_005022.jpg,seg_0005,822:-1975,validation
img_005084.jpg,seg_0005,822:-1975,validation
img_005144.jpg,seg_0006,822:-1975,validation
img_005204.jpg,seg_0007,822:-1974,train
img_005264.jpg,seg_0007,822:-1974,train
img_005324.jpg,seg_0008,822:-1973,validation
img_005384.jpg,seg_0008,822:-1973,validation
img_005444.jpg,seg_0008,822:-1973,validation
img_005504.jpg,seg_0009,822:-1972,train
img_005564.jpg,seg_0009,822:-1972,train
img_005624.jpg,seg_0009,822:-1972,train
img_005684.jpg,seg_0009,822:-1972,train
img_005744.jpg,seg_0010,822:-1972,train
img_005804.jpg,seg_0010,822:-1972,train
img_005864.jpg,seg_0010,822:-1972,train
img_005924.jpg,seg_0010,822:-1972,train
img_005984.jpg,seg_0010,822:-1972,train
img_006044.jpg,seg_0010,822:-1972,train
img_006104.jpg,seg_0010,822:-1972,train
img_006164.jpg,seg_0010,822:-1972,train
img_006224.jpg,seg_0010,822:-1972,train
img_006284.jpg,seg_0010,822:-1972,train
img_006344.jpg,seg_0011,822:-1972,train
img_006404.jpg,seg_0012,822:-1973,validation
img_006464.jpg,seg_0012,822:-1973,validation
img_006524.jpg,seg_0012,822:-1973,validation
img_006584.jpg,seg_0012,822:-1973,validation
img_006644.jpg,seg_0012,822:-1973,validation
img_006704.jpg,seg_0012,822:-1973,validation
img_006764.jpg,seg_0012,822:-1973,validation
img_006824.jpg,seg_0013,822:-1974,train
img_006884.jpg,seg_0013,822:-1974,train
img_006944.jpg,seg_0013,822:-1974,train
img_007004.jpg,seg_0013,822:-1974,train
img_007064.jpg,seg_0013,821:-1974,train
img_007124.jpg,seg_0013,821:-1974,train
img_007184.jpg,seg_0013,821:-1975,train
img_007244.jpg,seg_0013,821:-1975,train
img_007304.jpg,seg_0013,821:-1975,train
img_007364.jpg,seg_0013,821:-1975,train
img_007424.jpg,seg_0014,821:-1975,train
img_007484.jpg,seg_0015,821:-1976,test
img_007544.jpg,seg_0015,821:-1976,test
img_007604.jpg,seg_0015,821:-1976,test
img_007664.jpg,seg_0015,821:-1976,test
img_007724.jpg,seg_0015,821:-1976,test
img_007784.jpg,seg_0015,821:-1976,test
img_007844.jpg,seg_0016,821:-1977,train
img_007904.jpg,seg_0016,821:-1977,train
img_007964.jpg,seg_0016,821:-1977,train
